
[3, 11, 14, 16, 7, 32, 1, 2, 6]
[3, 11, 14, 7, 16, 32, 1, 2, 6]
[3, 11, 14, 7, 16, 1, 32, 2, 6]
[3, 11, 14, 7, 16, 1, 2, 32, 6]
[3, 11, 14, 7, 16, 1, 2, 6, 32]
[3, 11, 7, 14, 16, 1, 2, 6, 32]
[3, 11, 7, 14, 1, 16, 2, 6, 32]
[3, 11, 7, 14, 1, 2, 16, 6, 32]
[3, 11, 7, 14, 1, 2, 6, 16, 32]
[3, 7, 11, 14, 1, 2, 6, 16, 32]
[3, 7, 11, 1, 14, 2, 6, 16, 32]
[3, 7, 11, 1, 2, 14, 6, 16, 32]
[3, 7, 11, 1, 2, 6, 14, 16, 32]
[3, 7, 1, 11, 2, 6, 14, 16, 32]
[3, 7, 1, 2, 11, 6, 14, 16, 32]
[3, 7, 1, 2, 6, 11, 14, 16, 32]
[3, 1, 7, 2, 6, 11, 14, 16, 32]
[3, 1, 2, 7, 6, 11, 14, 16, 32]
[3, 1, 2, 6, 7, 11, 14, 16, 32]
[1, 3, 2, 6, 7, 11, 14, 16, 32]
[1, 2, 3, 6, 7, 11, 14, 16, 32]
